Date,Hour,Day,Load_kW,BattSoC_Wh,PV_to_Batt_kWh,PV_to_Load_kWh,PV_total_kWh,Grid_kWh,Batt_to_Load_kWh,eta_inv_vec
2025-12-14,22,Sunday,7.1362207558488295,67375.92901382221,0.0,0.0,0.0,7.1362207558488295,0.0,0.0
2025-12-14,23,Sunday,7.00747450509898,67375.92901382221,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-15,0,Monday,7.00747450509898,67375.92901382221,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-15,1,Monday,7.00747450509898,67375.92901382221,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-15,2,Monday,7.1362207558488295,67375.92901382221,0.0,0.0,0.0,7.1362207558488295,0.0,0.0
2025-12-15,3,Monday,7.283359328134372,67375.92901382221,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-15,4,Monday,7.283359328134372,67375.92901382221,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-15,5,Monday,7.412105578884224,67375.92901382221,0.0,0.0,0.0,7.412105578884224,0.0,0.0
2025-12-15,6,Monday,7.7063827234553095,67375.92901382221,0.0,0.0,0.0,7.7063827234553095,0.0,0.0
2025-12-15,7,Monday,7.7063827234553095,67441.50361761733,0.07747472092996004,0.0,0.07747472092996004,7.7063827234553095,0.0,0.0
2025-12-15,8,Monday,7.982267546490701,68324.5571135319,1.0433051700313971,0.0,1.0433051700313971,7.982267546490701,0.0,0.0
2025-12-15,9,Monday,7.982267546490701,69681.16545265348,1.6027981322324902,0.5201441828439206,2.122942315076411,7.527661530685115,0.0,0.9026075385528
2025-12-15,10,Monday,8.111013797240552,69681.16545265348,0.0,3.076961378722109,3.076961378722109,5.47258968778368,0.0,0.9435502356584521
2025-12-15,11,Monday,8.111013797240552,69681.16545265348,0.0,3.3399288962299196,3.3399288962299196,5.117192634976349,0.0,0.941675064209733
2025-12-15,12,Monday,8.258152369526094,69681.16545265348,0.0,3.18882952418027,3.18882952418027,5.4054531849365635,0.0,0.9427751550815661
2025-12-15,13,Monday,8.258152369526094,69681.16545265348,0.0,3.1264711492625525,3.1264711492625525,5.457971013052251,0.0,0.9432116217982954
2025-12-15,14,Monday,8.111013797240552,69681.16545265348,0.0,2.7624819641309397,2.7624819641309397,5.635688958342893,0.0,0.9455120881862501
2025-12-15,15,Monday,8.111013797240552,69681.16545265348,0.0,1.837382384339541,1.837382384339541,6.4606099049777175,0.0,0.9480618288099697
2025-12-15,16,Monday,7.982267546490701,69681.16545265348,0.0,0.8789434641905027,0.8789434641905027,7.1906394358137335,0.0,0.9329499688615418
2025-12-15,17,Monday,7.982267546490701,69681.16545265348,0.0,0.021934291291513686,0.021934291291513686,7.962827129932154,0.0,0.0
2025-12-15,18,Monday,7.835128974205158,69681.16545265348,0.0,0.0,0.0,7.835128974205158,0.0,0.0
2025-12-15,19,Monday,7.7063827234553095,69681.16545265348,0.0,0.0,0.0,7.7063827234553095,0.0,0.0
2025-12-15,20,Monday,7.559244151169766,69681.16545265348,0.0,0.0,0.0,7.559244151169766,0.0,0.0
2025-12-15,21,Monday,7.283359328134372,69681.16545265348,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-15,22,Monday,7.1362207558488295,69681.16545265348,0.0,0.0,0.0,7.1362207558488295,0.0,0.0
2025-12-15,23,Monday,7.00747450509898,69681.16545265348,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-16,0,Tuesday,7.00747450509898,69681.16545265348,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-16,1,Tuesday,7.00747450509898,69681.16545265348,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-16,2,Tuesday,7.1362207558488295,69681.16545265348,0.0,0.0,0.0,7.1362207558488295,0.0,0.0
2025-12-16,3,Tuesday,7.283359328134372,69681.16545265348,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-16,4,Tuesday,7.283359328134372,69681.16545265348,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-16,5,Tuesday,7.412105578884224,69681.16545265348,0.0,0.0,0.0,7.412105578884224,0.0,0.0
2025-12-16,6,Tuesday,7.7063827234553095,69681.16545265348,0.0,0.0,0.0,7.7063827234553095,0.0,0.0
2025-12-16,7,Tuesday,7.7063827234553095,69681.16545265348,0.0,0.043997889334928174,0.043997889334928174,7.667928568176582,0.0,0.0
2025-12-16,8,Tuesday,7.982267546490701,69681.16545265348,0.0,0.6227697569783107,0.6227697569783107,7.437966778891657,0.0,0.915337423675327
2025-12-16,9,Tuesday,7.982267546490701,69681.16545265348,0.0,1.1186748171078333,1.1186748171078333,7.009500867719847,0.0,0.940914099668978
2025-12-16,10,Tuesday,8.111013797240552,69681.16545265348,0.0,1.438072437682665,1.438072437682665,6.8255662959276435,0.0,0.9459836412779392
2025-12-16,11,Tuesday,8.111013797240552,69681.16545265348,0.0,1.7869069749636612,1.7869069749636612,6.505148268779535,0.0,0.9479627467127163
2025-12-16,12,Tuesday,8.258152369526094,69681.16545265348,0.0,1.9812719072446008,1.9812719072446008,6.473889008308577,0.0,0.948155652682573
2025-12-16,13,Tuesday,8.258152369526094,69681.16545265348,0.0,1.9360939421671342,1.9360939421671342,6.514219874905352,0.0,0.9481539547996714
2025-12-16,14,Tuesday,8.111013797240552,69681.16545265348,0.0,1.452574206347353,1.452574206347353,6.802613017771728,0.0,0.9461229047846585
2025-12-16,15,Tuesday,8.111013797240552,69681.16545265348,0.0,1.1541650829520225,1.1541650829520225,7.073630877401138,0.0,0.9417154964316229
2025-12-16,16,Tuesday,7.982267546490701,69681.16545265348,0.0,0.41267152638997123,0.41267152638997123,7.61307933372005,0.0,0.8818655388868067
2025-12-16,17,Tuesday,7.982267546490701,69681.16545265348,0.0,0.021809488999998808,0.021809488999998808,7.963996161559362,0.0,0.0
2025-12-16,18,Tuesday,7.835128974205158,69681.16545265348,0.0,0.0,0.0,7.835128974205158,0.0,0.0
2025-12-16,19,Tuesday,7.7063827234553095,69681.16545265348,0.0,0.0,0.0,7.7063827234553095,0.0,0.0
2025-12-16,20,Tuesday,7.559244151169766,69681.16545265348,0.0,0.0,0.0,7.559244151169766,0.0,0.0
2025-12-16,21,Tuesday,7.283359328134372,69681.16545265348,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-16,22,Tuesday,7.1362207558488295,69681.16545265348,0.0,0.0,0.0,7.1362207558488295,0.0,0.0
2025-12-16,23,Tuesday,7.00747450509898,69681.16545265348,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-17,0,Wednesday,7.00747450509898,69681.16545265348,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-17,1,Wednesday,7.00747450509898,69681.16545265348,0.0,0.0,0.0,7.00747450509898,0.0,0.0
2025-12-17,2,Wednesday,7.1362207558488295,69681.16545265348,0.0,0.0,0.0,7.1362207558488295,0.0,0.0
2025-12-17,3,Wednesday,7.283359328134372,69681.16545265348,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-17,4,Wednesday,7.283359328134372,69681.16545265348,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-17,5,Wednesday,7.412105578884224,69681.16545265348,0.0,0.0,0.0,7.412105578884224,0.0,0.0
2025-12-17,6,Wednesday,7.7063827234553095,69681.16545265348,0.0,0.0,0.0,7.7063827234553095,0.0,0.0
2025-12-17,7,Wednesday,7.7063827234553095,69681.16545265348,0.0,0.033154148900803135,0.033154148900803135,7.677405997316008,0.0,0.0
2025-12-17,8,Wednesday,7.982267546490701,69681.16545265348,0.0,0.4748363019273681,0.4748363019273681,7.5672606186061815,0.0,0.8950756248500936
2025-12-17,9,Wednesday,7.982267546490701,69681.16545265348,0.0,0.8647878561451121,0.8647878561451121,7.246919542323935,0.0,0.9322942662595329
2025-12-17,10,Wednesday,8.111013797240552,69681.16545265348,0.0,1.3508582172229082,1.3508582172229082,6.914586295316385,0.0,0.9450081769544915
2025-12-17,11,Wednesday,8.111013797240552,69681.16545265348,0.0,1.6500955222229376,1.6500955222229376,6.629627724046718,0.0,0.9474866861162523
2025-12-17,12,Wednesday,8.258152369526094,69681.16545265348,0.0,1.7246839909841587,1.7246839909841587,6.705743006271528,0.0,0.9477862715672688
2025-12-17,13,Wednesday,8.258152369526094,69681.16545265348,0.0,1.444862816907361,1.444862816907361,6.957202284471426,0.0,0.9460496118818408
2025-12-17,14,Wednesday,8.111013797240552,69681.16545265348,0.0,1.0891850162537102,1.0891850162537102,7.132111888440931,0.0,0.9401884141297978
2025-12-17,15,Wednesday,8.111013797240552,69681.16545265348,0.0,0.7426994943955322,0.7426994943955322,7.447650210420352,0.0,0.9253462610614791
2025-12-17,16,Wednesday,7.982267546490701,69681.16545265348,0.0,0.28520214746529077,0.28520214746529077,7.731552342727175,0.0,0.8358012201032591
2025-12-17,17,Wednesday,7.982267546490701,69681.16545265348,0.0,0.021996692437271124,0.021996692437271124,7.9648019272322585,0.0,0.0
2025-12-17,18,Wednesday,7.835128974205158,69681.16545265348,0.0,0.0,0.0,7.835128974205158,0.0,0.0
2025-12-17,19,Wednesday,7.7063827234553095,69681.16545265348,0.0,0.0,0.0,7.7063827234553095,0.0,0.0
2025-12-17,20,Wednesday,7.559244151169766,69681.16545265348,0.0,0.0,0.0,7.559244151169766,0.0,0.0
2025-12-17,21,Wednesday,7.283359328134372,69681.16545265348,0.0,0.0,0.0,7.283359328134372,0.0,0.0
2025-12-17,22,Wednesday,7.1362207558488295,69681.16545265348,0.0,0.0,0.0,7.1362207558488295,0.0,0.0
2025-12-17,23,Wednesday,7.00747450509898,69681.16545265348,0.0,0.0,0.0,7.00747450509898,0.0,0.0
